id,uuid,name,status,address,uap_lap,vendor,appearance,company,company_type,lmp_version,manufacturer,firmware,ibeacon_range,created_at,updated_at,last_seen
11,cf009818-e466-4aba-9876-e0aed20529c1,,offline,AC:BC:32:5C:F0:77,32:5C:F0:77,"Apple, Inc.",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:12:51-04:00,2016-10-12T08:15:52-04:00,1476274370
12,d8143806-4959-4466-9157-1e77123b26ed,,offline,04:15:52:E6:BC:D6,52:E6:BC:D6,"Apple, Inc.",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:12:53-04:00,2016-10-12T08:15:53-04:00,1476274372
13,ab0a1a2d-e6fa-4b8e-8528-9e523bf6011c,"Christopher's Kindle",offline,22:22:3D:74:C3:51,3D:74:C3:51,Unknown,,,,,,,,2016-10-12T08:12:56-04:00,2016-10-12T08:27:56-04:00,1476274375
14,451284de-4727-40e0-a0cf-f1d65852fc90,,offline,6C:94:F8:EC:88:CF,F8:EC:88:CF,"Apple, Inc.",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:12:57-04:00,2016-10-12T08:15:57-04:00,1476274376
15,0c8250d2-7271-48f7-9a92-88f839bc13aa,,offline,68:64:4B:48:8D:83,4B:48:8D:83,"Apple, Inc.",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:12:58-04:00,2016-10-12T08:15:58-04:00,1476274377
16,f7496b8a-e4db-4c1b-9743-bcac287a1548,"[Samsung] Soundbar J-Series",offline,78:BD:BC:9C:44:65,BC:9C:44:65,"Samsung Electronics Co.,Ltd",,,,,,,,2016-10-12T08:12:59-04:00,2016-10-12T08:27:58-04:00,1476274377
17,8da7dca1-086b-42c7-872f-dc4dd8bef04b,,offline,D0:4F:7E:05:11:A5,7E:05:11:A5,"Apple, Inc.",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:12:59-04:00,2016-10-12T08:16:00-04:00,1476274378
18,6752bd65-e522-4a0f-be3c-38f0044ff1b1,,offline,B8:78:2E:17:09:42,2E:17:09:42,"Apple, Inc.",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:13:07-04:00,2016-10-12T08:16:08-04:00,1476274386
19,51fa1200-a78d-4c65-911d-ca4f941623aa,"Roku Player",offline,00:0D:4B:F0:46:16,4B:F0:46:16,"Roku, Inc.",,,,,,,,2016-10-12T08:13:57-04:00,2016-10-12T08:28:58-04:00,1476274436
20,a36cc28b-b5d1-4b2c-864d-909eeb690032,DEH-X6800BT,offline,94:B2:CC:08:96:38,CC:08:96:38,"PIONEER CORPORATION",,,,,,,,2016-10-12T08:13:59-04:00,2016-10-12T08:29:00-04:00,1476274438
21,9c471282-bc5f-463b-bcb9-0c2cae3f3875,DESKTOP-MVR9IJV,offline,60:33:4B:0D:30:5E,4B:0D:30:5E,"Apple, Inc.",,,,"Bluetooth 2.1 (0x04) - Subversion 16938 (0x422a)","Broadcom Corporation (15)",,,2016-10-12T08:14:25-04:00,2016-10-12T08:31:30-04:00,1476274589
22,1b36fc8f-ae6f-4cae-a145-26cd6d3c3e95,,offline,88:C6:26:2D:EF:1E,26:2D:EF:1E,"Logitech - Ultimate Ears",,"not assigned (50824)",,,,,,2016-10-12T08:14:28-04:00,2016-10-12T08:19:30-04:00,1476274589
23,496b6c24-6b83-40a7-9907-8fd0828daa8c,"JVC Unit",offline,00:10:60:D2:D5:42,60:D2:D5:42,"BILLIONTON SYSTEMS, INC.",,,,,,,,2016-10-12T08:14:38-04:00,2016-10-12T08:29:37-04:00,1476274476
24,f456c4ce-37d0-4ef6-96c0-2d4bf79b5fad,"VW PHONE",offline,00:26:7E:D8:DD:70,7E:D8:DD:70,"PARROT SA",,,,,,,,2016-10-12T08:14:38-04:00,2016-10-12T08:30:52-04:00,1476274551
